STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	599	VALLECITO UNION ELEM SCH DIST	2013	7882	661	1072	6149	6975	3590	2727	300	3
California	1408	COLUSA UNIFIED SCH DIST	2013	11919	993	7244	3682	11706	6612	3611	655	123
California	345	MAXWELL UNIF SCH DIST	2013	3805	307	2036	1462	3746	1879	1283	175	243
California	1324	WILLIAMS UNIFIED SCH DIST	2013	10961	959	6592	3410	11150	6026	3180	731	559
California	1377	PIERCE J. T. UNIFIED SCHOOL DIST	2013	12014	759	6967	4288	11246	6295	3642	613	67
California	5349	ACALANES UNION HIGH SCHOOL DIST	2013	69412	1142	8808	59462	77622	34059	23309	1721	15200
California	18852	ANTIOCH UNIFIED SCH DIST	2013	148051	15059	94533	38459	164202	97356	47822	7675	8383
California	8426	BRENTWOOD SCHOOL DISTRICT	2013	68115	3680	40996	23439	67305	42701	16998	1824	3667
California	1686	BYRON UNION ELEM SCH DIST	2013	13543	591	6778	6174	14809	7896	4232	938	1160
California	73	CANYON ELEM SCH DIST	2013	742	25	519	198	714	453	206	55	0
California	1600	JOHN SWETT UNIFIED SCH DIST	2013	24314	1655	11567	11092	23644	8780	5661	718	7332
California	472	KNIGHTSEN ELEM SCH DIST	2013	5663	282	2035	3346	4559	2568	1531	185	141
California	3435	LAFAYETTE ELEM SCH DIST	2013	33035	829	8694	23512	31952	21308	8958	54	1004
California	7704	LIBERTY UNION HIGH SCHOOL DIST	2013	68798	2361	32888	33549	63780	34666	21194	4621	611
California	4087	MARTINEZ UNIFIED SCHOOL DISTRICT	2013	39608	2115	11784	25709	46971	21273	9727	3004	10616
California	1856	MORAGA SCHOOL DISTRICT	2013	18563	339	5214	13010	18531	11432	5880	762	151
California	32001	MT DIABLO UNIFIED SCHOOL DISTRICT	2013	336040	35675	147903	152462	378438	180831	98092	14420	64237
